Parameter S1 S1_conf ST ST_conf
Tmax k192 -0.001985 0.089959
Tmax k193 -0.002505 0.089981
Tmax k194 -0.002425 0.089965
Tmax k195 -0.002408 0.089968
Tmax k196 -0.002408 0.089967
Tmax k197 -0.002408 0.089968
Tmax k198 -0.002416 0.089966
Tmax k199 -0.002330 0.089968
Tmax k200 -0.002257 0.089981
Tmax k201 -0.002404 0.089967
Tmax k202 -0.002410 0.089968
Tmax k203 0.000741 0.089933
Tmax k204 -0.002435 0.089967
Tmax k205 -0.002059 0.089931
Tmax k206 -0.002374 0.089965
Tmax k207 -0.002418 0.089971
Tmax k208 -0.002407 0.089972
Tmax k209 -0.002402 0.089968
Tmax k210 -0.002393 0.089974
Tmax k211 -0.002166 0.089881
Tmax k212 -0.002303 0.089962
Tmax k213 -0.001487 0.089881
Tmax k214 -0.002328 0.089948
Tmax k215 -0.002405 0.089965
Tmax k216 -0.002409 0.089968
Tmax k217 -0.002410 0.089968
Tmax k218 -0.002409 0.089968
Tmax k219 -0.002409 0.089968
Tmax k220 -0.002411 0.089968
Tmax k221 -0.002410 0.089968
Tmax k222 -0.002410 0.089968
Tmax k223 -0.002424 0.089976
Tmax k224 -0.002262 0.089973
Tmax k225 -0.002368 0.089969
Tmax k226 -0.002423 0.089969
Tmax k227 -0.002403 0.089969
Tmax k228 -0.002411 0.089968
Tmax k229 -0.002410 0.089968
Tmax k230 -0.002409 0.089968
Tmax k231 -0.002412 0.089968
Tmax k232 -0.002433 0.089968
