Parameter S1 S1_conf ST ST_conf
Tmax k68 0.020445 0.051804
Tmax k69 0.020015 0.051811
Tmax k70 0.021939 0.051883
Tmax k71 0.021228 0.051849
Tmax k72 0.021169 0.051864
Tmax k73 0.021322 0.051872
Tmax k74 0.021167 0.051865
Tmax k75 0.021419 0.051854
Tmax k76 0.021167 0.051864
Tmax k77 0.021171 0.051865
Tmax k78 0.021158 0.051865
Tmax k79 0.021527 0.051881
Tmax k80 0.021280 0.051885
Tmax k81 0.021237 0.051867
Tmax k82 0.021274 0.051984
Tmax k83 0.021163 0.051858
Tmax k84 0.021168 0.051864
Tmax k85 0.021168 0.051864
Tmax k86 0.020681 0.051805
Tmax k87 0.021142 0.051869
Tmax k88 0.021167 0.051865
Tmax k89 0.021169 0.051865
Tmax k90 0.021176 0.051866
Tmax k91 0.021174 0.051865
Tmax k92 0.021164 0.051865
Tmax k93 0.021167 0.051865
Tmax k94 0.021167 0.051865
Tmax k95 0.021167 0.051865
Tmax k96 0.021167 0.051865
Tmax k97 0.021167 0.051865
Tmax k98 0.021167 0.051865
Tmax k99 0.021167 0.051865
Tmax k100 0.021167 0.051865
Tmax k101 0.021172 0.051860
Tmax k102 0.021167 0.051865
Tmax k103 0.021171 0.051865
Tmax k104 0.025761 0.051831
Tmax k105 0.019680 0.052467
Tmax k106 0.017927 0.051677
Tmax k107 0.020489 0.052131
Tmax k108 0.019720 0.051577
Tmax k109 0.021055 0.051814
Tmax k110 0.019795 0.051452
Tmax k111 0.021171 0.051865
Tmax k112 0.021166 0.051865
Tmax k113 0.021167 0.051865
Tmax k114 0.021168 0.051865
Tmax k115 0.021345 0.051852
Tmax k116 0.021167 0.051864
Tmax k117 0.021094 0.051864
Tmax k118 0.021128 0.051871
Tmax k119 0.021014 0.051853
Tmax k120 0.021166 0.051865
Tmax k121 0.021167 0.051858
Tmax k122 0.021168 0.051864
Tmax k123 0.021167 0.051865
Tmax k124 0.021162 0.051865
Tmax k125 0.021159 0.051865
Tmax k126 0.021186 0.051861
Tmax k127 0.021024 0.051860
Tmax k128 0.021173 0.051867
Tmax k129 0.021044 0.051849
Tmax k130 0.021064 0.051863
Tmax k131 0.021167 0.051865
Tmax k132 0.021167 0.051865
Tmax k133 0.021167 0.051865
Tmax k134 0.021167 0.051865
Tmax k135 0.021168 0.051865
Tmax k136 0.021077 0.051860
Tmax k137 0.021167 0.051864
Tmax k138 0.020714 0.051792
Tmax k139 0.021101 0.051844
Tmax k140 0.021010 0.051901
Tmax k141 0.021174 0.051864
Tmax k142 0.021213 0.051863
Tmax k143 0.021167 0.051865
Tmax k144 0.021167 0.051865
Tmax k145 0.021168 0.051865
Tmax k146 0.021169 0.051864
Tmax k147 0.021162 0.051864
Tmax k148 0.021205 0.051861
Tmax k149 0.021165 0.051863
Tmax k150 0.021029 0.051860
Tmax k151 0.021167 0.051864
Tmax k152 0.021167 0.051865
Tmax k153 0.021167 0.051865
Tmax k154 0.021167 0.051865
Tmax k155 0.021167 0.051865
Tmax k156 0.021171 0.051865
Tmax k157 0.021205 0.051886
Tmax k158 0.021167 0.051864
Tmax k159 0.021488 0.051903
Tmax k160 0.021250 0.051895
Tmax k161 0.020605 0.051862
Tmax k162 0.021165 0.051864
Tmax k163 0.021089 0.051876
Tmax k164 0.021168 0.051865
Tmax k165 0.021066 0.051862
Tmax k166 0.021250 0.051872
Tmax k167 0.021131 0.051855
Tmax k168 0.021101 0.051871
Tmax k169 0.021235 0.051855
Tmax k170 0.021161 0.051866
Tmax k171 0.021205 0.051930
Tmax k172 0.021183 0.051863
Tmax k173 0.021167 0.051865
Tmax k174 0.021170 0.051865
Tmax k175 0.021155 0.051860
Tmax k176 0.021195 0.051867
Tmax k177 0.021178 0.051866
Tmax k178 0.021093 0.051867
Tmax k179 0.021098 0.051920
Tmax k180 0.021132 0.051865
Tmax k181 0.021738 0.051952
Tmax k182 0.021167 0.051865
Tmax k183 0.021166 0.051861
Tmax k184 0.021303 0.051869
Tmax k185 0.021174 0.051800
Tmax k186 0.021100 0.051868
Tmax k187 0.021160 0.051864
Tmax k188 0.021264 0.051939
Tmax k189 0.021152 0.051853
Tmax k190 0.021374 0.051821
Tmax k191 0.021189 0.051826
Tmax k192 0.020650 0.051789
Tmax k193 0.020820 0.051875
Tmax k194 0.021159 0.051868
Tmax k195 0.021166 0.051864
Tmax k196 0.021174 0.051862
Tmax k197 0.021166 0.051865
Tmax k198 0.021146 0.051860
Tmax k199 0.021193 0.051876
Tmax k200 0.021199 0.051851
Tmax k201 0.021208 0.051857
Tmax k202 0.021167 0.051865
Tmax k203 0.020838 0.051731
Tmax k204 0.021246 0.051875
Tmax k205 0.021461 0.051912
Tmax k206 0.021244 0.051892
Tmax k207 0.021205 0.051865
Tmax k208 0.021203 0.051867
Tmax k209 0.021218 0.051853
Tmax k210 0.021075 0.051878
Tmax k211 0.021023 0.051943
Tmax k212 0.021064 0.051875
Tmax k213 0.021713 0.051950
Tmax k214 0.021273 0.051873
Tmax k215 0.021178 0.051862
Tmax k216 0.021166 0.051864
Tmax k217 0.021169 0.051864
Tmax k218 0.021165 0.051864
Tmax k219 0.021167 0.051865
Tmax k220 0.021159 0.051865
Tmax k221 0.021167 0.051865
Tmax k222 0.021167 0.051865
Tmax k223 0.021189 0.051844
Tmax k224 0.021199 0.051845
Tmax k225 0.021178 0.051862
Tmax k226 0.021153 0.051862
Tmax k227 0.021174 0.051863
Tmax k228 0.021167 0.051864
Tmax k229 0.021169 0.051864
Tmax k230 0.021161 0.051865
Tmax k231 0.021175 0.051866
Tmax k232 0.021158 0.051873
Tmax k233 0.021148 0.051861
Tmax k234 0.021146 0.051855
Tmax k235 0.021158 0.051873
Tmax k236 0.021168 0.051864
Tmax k237 0.021167 0.051865
Tmax k238 0.021167 0.051863
Tmax k239 0.021165 0.051865
Tmax k240 0.021182 0.051866
Tmax k241 0.021167 0.051865
Tmax k242 0.021162 0.051865
Tmax k243 0.021174 0.051866
